name	role	theme_audioeng	theme_augmi	theme_isam	theme_mlist	theme_mir	theme_mcog	theme_mupae	url	blurb
Prof Mark Sandler 	acad					1			http://www.eecs.qmul.ac.uk/people/view/3114/prof-mark-sandler	Director
Dr Mathieu Barthet	acad					1			http://c4dm.eecs.qmul.ac.uk/people/mathieub.htm	Lecturer
Dr Nick Bryan-Kinns	acad			1					http://www.eecs.qmul.ac.uk/%7Enickbk/	Reader in Interaction Design
Prof Elaine Chew 	acad							1	http://www.eecs.qmul.ac.uk/~eniale/	Professor
Dr Simon Dixon	acad					1			http://www.eecs.qmul.ac.uk/~simond/	Reader
Dr Gyorgy Fazekas	acad					1			http://c4dm.eecs.qmul.ac.uk/people/gyorgyf.htm	Lecturer
Prof Pat Healey	acad			1					http://www.eecs.qmul.ac.uk/%7Eph/	Professor
Dr Matthias Mauch	acad					1			http://www.matthiasmauch.net/	RAEng Research Fellow, Lecturer
Dr Andrew McPherson	acad		1						http://www.eecs.qmul.ac.uk/people/view/20095	Senior Lecturer
Dr Marcus Pearce	acad						1		http://www.eecs.qmul.ac.uk/people/view/20961	Lecturer
Dr Matthew Purver	acad								http://www.eecs.qmul.ac.uk/~mpurver/	Senior Lecturer
Dr Joshua D Reiss	acad	1							http://www.eecs.qmul.ac.uk/~josh/	Reader in Audio Engineering
Dr Dan Stowell	acad				1				http://c4dm.eecs.qmul.ac.uk/people/dans.htm	EPSRC Research Fellow
Dr Tony Stockman	acad			1					http://www.eecs.qmul.ac.uk/people/view/3026/dr-tony-stockman	Senior Lecturer
Dr Bob Sturm 	acad				1	1				Lecturer
Prof Geraint Wiggins 	acad						1		http://www.eecs.qmul.ac.uk/people/view/4932	Professor
Prof Laurent Daudet	visitingacad								http://c4dm.eecs.qmul.ac.uk/department/staff/research/ld.htm	Visiting Senior Lecturer
Simon Davidmann	visitingacad									Visiting Professor
Prof Steven Downie	visitingacad									Visiting Professor
Peter Langley	visitingacad									Visiting Professorial Fellow
Martyn Ware	visitingacad									Visiting Professorial Fellow
Dr Panos Kudumakis	staff								http://www.aes.org/aes/kudumakis	Music Rights Management & Standardisation
Chris Cannam	staff								http://www.eecs.qmul.ac.uk/people/view/3111	Sustainable Software for Audio and Music Research 
Dr Samer Abdallah	postdoc								http://www.eecs.qmul.ac.uk/~samer/	Techniques and Algorithms for Understanding the Information Dynamics of Music
Dr Gerard Briscoe	postdoc								http://webspace.qmul.ac.uk/gbriscoe/site/Home.html	Digital Culture
Dr Sebastian Ewert	postdoc				1					
Fiore Martin	postdoc			1						Design Patterns for Inclusive Collaboration (DePIC)
Dr Oussama Metatla	postdoc			1					http://www.eecs.qmul.ac.uk/~oussama/	Design Patterns for Inclusive Collaboration (DePIC)
Tian Cheng	phd					1				Multi-instrument Music Transcription using Non-negative Matrix Decomposition Methods and Physical Models
Magdalena Chudy	phd					1			http://www.eecs.qmul.ac.uk/people/view/3959	Music Performer Recognition Using Timbre Features
Brecht De Man	phd	1								Semantic Mixing of Multitrack Audio
Liam Donovan	phd		1							
Henrik Ekeus	phd			1						Applying Models of Perception and Cognition to the Design of Artistic Generative Systems
Peter Foster 	phd				1	1			http://www.eecs.qmul.ac.uk/people/view/16767	Audio-based Music Structure Analysis and Prediction
Ken O'Hanlon 	phd				1				http://www.eecs.qmul.ac.uk/people/view/3963	Audio-visual analysis
Steven Hargreaves	phd					1			http://www.eecs.qmul.ac.uk/people/view/4745	Structural Segmentation of Multitrack Audio
Fabio Hedayioglu	phd				1					DigiScope
Christian Heinrichs	phd		1							
Simon Hendry 	phd	1							http://www.eecs.qmul.ac.uk/people/view/4975	 
Katerina Kosta	phd					1		1		Mathematical models for musical performance analysis
Duncan Menzies	phd		1							
Maria Panteli	phd					1				Signal Processing and Data Mining Tools for the Analysis of Musical Evolution
Laurel Pardue	phd		1							
David Ronan	phd	1								
Siddharth Sigtia	phd				1	1				Deep learning
Yading Song	phd					1				Music Recommendation
Mi Tian	phd					1				 
Robert Tubb 	phd			1					http://www.eecs.qmul.ac.uk/people/view/16586	 
Bogdan Vera	phd							1		Predictive virtual cues for network music performance
Yonghao Wang 	phd	1							http://www.eecs.qmul.ac.uk/people/view/4760	Intelligent Audio Consoles
Sonia Wilkie	phd			1					http://www.eecs.qmul.ac.uk/people/view/16489	Perceived Motion in Space
Thomas Wilmering	phd					1			http://www.eecs.qmul.ac.uk/people/view/4665	 
Luwei Yang	phd							1		 
Asterios Zacharakis	phd	1				1			http://www.eecs.qmul.ac.uk/people/view/3960	 
Dr Roland Badeau	visitor								http://perso.telecom-paristech.fr/~rbadeau/	[Institut Mines-Télécom, Télécom ParisTech, CNRS LTCI]
Dr Bryan Pardo	visitor								http://www.cs.northwestern.edu/~pardo/	[Northwestern University]
