filename, delta_mean, delta_max
MAPS_MUS-alb_esp2_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-alb_esp2_AkPnStgb.mid, 0.0, 0
MAPS_MUS-alb_esp2_SptkBGAm.mid, 0.0, 0
MAPS_MUS-alb_esp2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-alb_esp3_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-alb_esp4_AkPnStgb.mid, 0.0, 0
MAPS_MUS-alb_esp5_SptkBGCl.mid, 0.0, 0
MAPS_MUS-alb_esp6_SptkBGCl.mid, 0.002686366689053056, 1
MAPS_MUS-alb_se2_ENSTDkCl.mid, 1.3852794184461608, 8
MAPS_MUS-alb_se2_StbgTGd2.mid, 0.005452067242162653, 1
MAPS_MUS-alb_se3_AkPnBcht.mid, 0.0006898930665746809, 2
MAPS_MUS-alb_se3_AkPnBsdf.mid, 0.0006898930665746809, 2
MAPS_MUS-alb_se4_AkPnBsdf.mid, 0.0035070140280561123, 4
MAPS_MUS-alb_se6_AkPnStgb.mid, 0.00031496062992125983, 1
MAPS_MUS-alb_se7_AkPnBsdf.mid, 0.09882139619220308, 1
MAPS_MUS-alb_se8_SptkBGAm.mid, 0.008683729433272395, 1
MAPS_MUS-appass_1_AkPnBsdf.mid, 0.37903984938813934, 120
MAPS_MUS-appass_1_SptkBGCl.mid, 0.37903984938813934, 120
MAPS_MUS-appass_3_AkPnStgb.mid, 0.13500415397396842, 60
MAPS_MUS-bach_846_AkPnBcht.mid, 0.00078003120124805, 1
MAPS_MUS-bach_846_SptkBGAm.mid, 0.00078003120124805, 1
MAPS_MUS-bach_847_AkPnBcht.mid, 0.0032520325203252032, 3
MAPS_MUS-bach_847_AkPnStgb.mid, 0.0032520325203252032, 3
MAPS_MUS-bach_847_SptkBGCl.mid, 0.0032520325203252032, 3
MAPS_MUS-bach_850_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-bk_xmas1_AkPnBsdf.mid, 0.01911544227886057, 2
MAPS_MUS-bk_xmas1_AkPnStgb.mid, 0.01911544227886057, 2
MAPS_MUS-bk_xmas1_ENSTDkAm.mid, 0.36094452773613195, 5
MAPS_MUS-bk_xmas1_ENSTDkCl.mid, 0.3748125937031484, 5
MAPS_MUS-bk_xmas1_StbgTGd2.mid, 0.01911544227886057, 2
MAPS_MUS-bk_xmas2_AkPnStgb.mid, 0.0, 0
MAPS_MUS-bk_xmas2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-bk_xmas3_AkPnStgb.mid, 0.006717627982395182, 1
MAPS_MUS-bk_xmas4_ENSTDkCl.mid, 0.9700948212983224, 6
MAPS_MUS-bk_xmas4_SptkBGCl.mid, 0.0, 0
MAPS_MUS-bk_xmas4_StbgTGd2.mid, 0.0, 0
MAPS_MUS-bk_xmas5_AkPnBcht.mid, 0.0, 0
MAPS_MUS-bk_xmas5_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-bk_xmas5_ENSTDkCl.mid, 0.9031966224366706, 7
MAPS_MUS-bk_xmas5_StbgTGd2.mid, 0.0, 0
MAPS_MUS-bor_ps1_AkPnCGdD.mid, 0.0061162079510703364, 1
MAPS_MUS-bor_ps2_SptkBGAm.mid, 0.01282051282051282, 1
MAPS_MUS-bor_ps5_AkPnStgb.mid, 0.0, 0
MAPS_MUS-bor_ps6_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-bor_ps6_ENSTDkCl.mid, 0.7575392038600723, 4
MAPS_MUS-bor_ps6_StbgTGd2.mid, 0.0, 0
MAPS_MUS-br_im2_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-br_im2_SptkBGAm.mid, 0.0, 0
MAPS_MUS-br_im5_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-br_im5_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-br_im5_SptkBGCl.mid, 0.0, 0
MAPS_MUS-br_im6_AkPnStgb.mid, 0.0, 0
MAPS_MUS-burg_perlen_SptkBGCl.mid, 0.809375, 180
MAPS_MUS-burg_quelle_SptkBGAm.mid, 0.0, 0
MAPS_MUS-chp_op18_AkPnCGdD.mid, 0.22511902063024258, 1
MAPS_MUS-chp_op31_AkPnBcht.mid, 0.20899781769346987, 60
MAPS_MUS-chp_op31_AkPnStgb.mid, 0.20899781769346987, 60
MAPS_MUS-chpn-p10_AkPnStgb.mid, 0.18691588785046728, 60
MAPS_MUS-chpn-p11_AkPnCGdD.mid, 0.0125, 4
MAPS_MUS-chpn-p12_AkPnBcht.mid, 0.004111842105263158, 1
MAPS_MUS-chpn-p13_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p13_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p14_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p14_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p14_ENSTDkAm.mid, 0.9539170506912442, 6
MAPS_MUS-chpn-p15_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p15_ENSTDkAm.mid, 0.8682476943346509, 6
MAPS_MUS-chpn-p16_AkPnStgb.mid, 0.15108514190317196, 90
MAPS_MUS-chpn-p19_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-chpn-p19_ENSTDkCl.mid, 1.4090541632983022, 12
MAPS_MUS-chpn-p19_StbgTGd2.mid, 0.0, 0
MAPS_MUS-chpn-p1_AkPnBcht.mid, 0.0856269113149847, 27
MAPS_MUS-chpn-p1_AkPnBsdf.mid, 0.0856269113149847, 27
MAPS_MUS-chpn-p20_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p21_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-chpn-p24_AkPnBcht.mid, 0.7092768444119796, 240
MAPS_MUS-chpn-p2_SptkBGCl.mid, 0.005847953216374269, 1
MAPS_MUS-chpn-p3_AkPnBcht.mid, 0.16440422322775264, 43
MAPS_MUS-chpn-p4_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p4_AkPnBsdf.mid, 0.0, 0
MAPS_MUS-chpn-p4_ENSTDkAm.mid, 0.7334437086092715, 4
MAPS_MUS-chpn-p6_SptkBGAm.mid, 0.009876543209876543, 1
MAPS_MUS-chpn-p6_SptkBGCl.mid, 0.009876543209876543, 1
MAPS_MUS-chpn-p7_AkPnCGdD.mid, 0.0, 0
MAPS_MUS-chpn-p7_SptkBGCl.mid, 0.0, 0
MAPS_MUS-chpn-p8_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn-p9_AkPnBsdf.mid, 0.22760290556900725, 60
MAPS_MUS-chpn_op10_e01_AkPnCGdD.mid, 0.016454749439042633, 1
MAPS_MUS-chpn_op10_e05_SptkBGAm.mid, 0.009208103130755065, 5
MAPS_MUS-chpn_op10_e12_AkPnCGdD.mid, 0.07710727969348659, 8
MAPS_MUS-chpn_op25_e2_AkPnBcht.mid, 0.0, 0
MAPS_MUS-chpn_op25_e3_ENSTDkAm.mid, 1.3167554766133807, 10
MAPS_MUS-chpn_op25_e3_SptkBGAm.mid, 0.035523978685612786, 60
MAPS_MUS-chpn_op25_e4_ENSTDkAm.mid, 3.118508655126498, 12
MAPS_MUS-chpn_op27_1_AkPnCGdD.mid, 0.08756889161053276, 1
MAPS_MUS-chpn_op27_2_AkPnStgb.mid, 0.0, 0
MAPS_MUS-chpn_op27_2_SptkBGCl.mid, 0.0, 0
MAPS_MUS-chpn_op33_2_ENSTDkAm.mid, 2.2214174857734093, 12
MAPS_MUS-chpn_op33_2_SptkBGAm.mid, 0.10967408173823073, 1
MAPS_MUS-chpn_op33_4_SptkBGAm.mid, 0.04942263279445727, 1
MAPS_MUS-chpn_op35_1_ENSTDkAm.mid, 1.416072701354241, 10
MAPS_MUS-chpn_op35_3_AkPnStgb.mid, 0.002152389151958674, 2
MAPS_MUS-chpn_op66_AkPnBcht.mid, 0.12344057780695995, 96
